x_h,y_h,x_s,y_s,source,bc,E,RMSE,DeltaT_max,CR,t_s,N_sw,U_spatial,J_Balanced,J_Comfort,J_Energy
0.5,0.5,0.5,3.5,point,RNNN,53.4375,73.72598685852375,806.4665899919983,0.081484375,120.0,1,66.59295526516016,0.8001977343242237,0.8380206824369633,0.7991956748809499
0.5,0.5,1.5,3.5,point,RNNN,60.0,75.62234056128656,827.9031663198757,0.081484375,120.0,0,68.00733462795343,0.8008203677237969,0.842697705029846,0.813905359256618
0.5,0.5,2.5,3.5,point,RNNN,60.0,75.62234056128656,827.9031663198757,0.081484375,120.0,0,68.00733462795343,0.8008203677237969,0.842697705029846,0.813905359256618
0.5,0.5,3.5,3.5,point,RNNN,60.0,75.62234056128656,827.9031663198757,0.081484375,120.0,0,68.00733462795343,0.8008203677237969,0.842697705029846,0.813905359256618
0.5,0.5,4.5,3.5,point,RNNN,60.0,75.62234056128656,827.9031663198757,0.081484375,120.0,0,68.00733462795343,0.8008203677237969,0.842697705029846,0.813905359256618
0.5,0.5,0.5,4.5,point,RNNN,60.0,75.62234056128656,827.9031663198757,0.081484375,120.0,0,68.00733462795343,0.8008203677237969,0.842697705029846,0.813905359256618
0.5,0.5,1.5,4.5,point,RNNN,60.0,75.62234056128656,827.9031663198757,0.081484375,120.0,0,68.00733462795343,0.8008203677237969,0.842697705029846,0.813905359256618
0.5,0.5,2.5,4.5,point,RNNN,60.0,75.62234056128656,827.9031663198757,0.081484375,120.0,0,68.00733462795343,0.8008203677237969,0.842697705029846,0.813905359256618
0.5,0.5,3.5,4.5,point,RNNN,60.0,75.62234056128656,827.9031663198757,0.081484375,120.0,0,68.00733462795343,0.8008203677237969,0.842697705029846,0.813905359256618
0.5,0.5,4.5,4.5,point,RNNN,60.0,75.62234056128656,827.9031663198757,0.081484375,120.0,0,68.00733462795343,0.8008203677237969,0.842697705029846,0.813905359256618
1.5,0.5,0.5,0.5,point,RNNN,7.1875,13.801697874022151,484.67133702036074,0.141640625,120.0,1,11.680049459797768,0.44352430360031814,0.4990203303602555,0.38345436550961287
1.5,0.5,1.5,0.5,point,RNNN,1.5625,5.3956915843134245,247.7994289001374,0.05831380208333334,120.0,5,2.2394562165905865,0.47748771693173375,0.4953570222062412,0.4173424514355841
1.5,0.5,2.5,0.5,point,RNNN,7.1875,13.801697874022151,484.67133702036074,0.141640625,120.0,1,11.680049459797768,0.44352430360031814,0.4990203303602555,0.38345436550961287
1.5,0.5,3.5,0.5,point,RNNN,29.0625,44.206789707756876,642.9312378092989,0.10788411458333334,120.0,1,39.924012995257016,0.6201675769104695,0.6679062471720221,0.5862052600904214
1.5,0.5,4.5,0.5,point,RNNN,60.0,66.98013200300834,731.6039249241892,0.10575520833333332,120.0,0,59.703785416164116,0.755410110694753,0.7907289575899253,0.7802005497977335
1.5,0.5,0.5,1.5,point,RNNN,14.6875,25.28504813842783,561.7593787881885,0.12048177083333332,120.0,1,22.441098739300255,0.5124792524359602,0.5670618810719346,0.4589836838277117
1.5,0.5,1.5,1.5,point,RNNN,7.1875,13.801697874022151,484.67133702036074,0.141640625,120.0,1,11.680049459797768,0.44352430360031814,0.4990203303602555,0.38345436550961287
1.5,0.5,2.5,1.5,point,RNNN,14.6875,25.28504813842783,561.7593787881885,0.12048177083333332,120.0,1,22.441098739300255,0.5124792524359602,0.5670618810719346,0.4589836838277117
1.5,0.5,3.5,1.5,point,RNNN,35.9375,51.716272581313746,668.935359137614,0.10611328125000001,120.0,1,46.718841688910835,0.6643124172372306,0.7078537832728996,0.6415333873755169
1.5,0.5,4.5,1.5,point,RNNN,60.0,66.98013200300834,731.6039249241892,0.10575520833333332,120.0,0,59.703785416164116,0.755410110694753,0.7907289575899253,0.7802005497977335
