x_h,y_h,x_s,y_s,source,bc,E,RMSE,DeltaT_max,CR,t_s,N_sw,U_spatial,J_Balanced,J_Comfort,J_Energy
1.5,0.5,3.5,0.5,point,L-RNNN,32.8125,41.31409389559298,491.65261116698025,0.13310956147654732,120.0,1,36.43326343081534,0.594100051266477,0.6309698621140235,0.5791432277852742
1.5,0.5,4.5,0.5,point,L-RNNN,60.0,57.37842153802122,546.8279657226878,0.13179988898140438,120.0,0,50.08697968607882,0.7074133183268937,0.7302133991355724,0.7468106223380436
1.5,0.5,0.5,1.5,point,L-RNNN,16.5625,23.697473452011657,430.2389225056228,0.1552785872883708,120.0,1,20.651803596118825,0.48221561520894574,0.5282178721874765,0.4426493671535221
1.5,0.5,1.5,1.5,point,L-RNNN,7.8125,12.460532824602831,368.55107754461363,0.20327244657230087,72.5,1,10.407099162558996,0.34680386587750484,0.3943825923788753,0.2984810465459002
1.5,0.5,2.5,1.5,point,L-RNNN,16.5625,23.697473452011657,430.2389225056228,0.1552785872883708,120.0,1,20.651803596118825,0.48221561520894574,0.5282178721874765,0.4426493671535221
1.5,0.5,3.5,1.5,point,L-RNNN,40.3125,47.793390969097366,510.55694687436574,0.13197335553705244,120.0,1,42.110783298183684,0.6374123769920216,0.6691050395315792,0.6358639476889053
1.5,0.5,4.5,1.5,point,L-RNNN,60.0,57.37842153802122,546.8279657226878,0.13179988898140438,120.0,0,50.08697968607882,0.7074133183268937,0.7302133991355724,0.7468106223380436
1.5,0.5,0.5,2.5,point,L-RNNN,37.8125,45.76209227124413,504.66729154336906,0.13219886205939493,120.0,1,40.34496282081932,0.6234875055997795,0.6569356779371153,0.6173551799893338
1.5,0.5,1.5,2.5,point,L-RNNN,32.1875,40.72383243451457,489.8918835694918,0.1333090480155426,120.0,1,35.91053697645737,0.5902793203202645,0.6275653572734611,0.5742534859193775
1.5,0.5,2.5,2.5,point,L-RNNN,38.4375,46.28246062646037,506.1746194186353,0.1321294754371357,120.0,1,40.798769843358485,0.6270176252213812,0.6600294471155482,0.6220204825305493
1.5,0.5,3.5,2.5,point,L-RNNN,54.0625,56.10079101475828,537.6550278060645,0.13179988898140438,120.0,1,49.08502479038292,0.7035484903314899,0.7252479191784241,0.7294367985041961
1.5,0.5,4.5,2.5,point,L-RNNN,60.0,57.37842153802122,546.8279657226878,0.13179988898140438,120.0,0,50.08697968607882,0.7074133183268937,0.7302133991355724,0.7468106223380436
1.5,0.5,0.5,3.5,point,L-RNNN,60.0,57.37842153802122,546.8279657226878,0.13179988898140438,120.0,0,50.08697968607882,0.7074133183268937,0.7302133991355724,0.7468106223380436
