x_h,y_h,J,E,RMSE,DeltaT_max,CR,t_s,N_sw,U_spatial
1.9951505016722415,3.313879598662206,0.33995896775449486,1.25,3.86825975973724,7.2862435781477615,0.3426308539944903,60.0,1,2.5083762125182156
1.8451505016722414,3.363879598662206,0.33997228648033756,1.25,3.9070740356502354,7.342942960679171,0.3446969696969697,60.0,1,2.5668772510331066
1.8951505016722414,3.1638795986622066,0.34005559210756614,1.25,3.8464351134868204,7.212922392412928,0.340564738292011,60.0,1,2.473977899677978
1.9951505016722415,3.1638795986622066,0.3401200826464572,1.25,3.83113226232865,7.2391392342900645,0.33953168044077137,60.0,1,2.450536968734396
1.9451505016722415,3.063879598662207,0.3401446159717536,1.25,3.8175300662726626,7.332459988441833,0.3391873278236915,60.0,1,2.4283525862397437
1.8451505016722414,3.2138795986622064,0.3401482671990166,1.25,3.8670191090723884,7.071678623377132,0.3402203856749312,60.0,1,2.5057319473095068
1.9451505016722415,3.2638795986622062,0.340153884433983,1.25,3.8623481245596567,7.123339781289271,0.3402203856749312,60.0,1,2.499092225410931
1.5951505016722412,3.1138795986622068,0.34015389515022343,1.25,3.902943721699246,7.484971676460862,0.3440082644628099,60.0,1,2.5582958433695144
1.8951505016722414,3.363879598662206,0.34015542617620076,1.25,3.8979652463859398,7.398458112234184,0.34331955922865015,60.0,1,2.553303312099209
1.9451505016722415,3.313879598662206,0.3401675713190908,1.25,3.875600653530621,7.287129012860248,0.3415977961432507,60.0,1,2.519467878246225
1.6451505016722412,3.1138795986622068,0.3401725304635338,1.25,3.8893000019747213,7.367355316803902,0.34263085399449034,60.0,1,2.5380032737042
1.8951505016722414,3.313879598662206,0.34020591435935876,1.25,3.8837838717523443,7.259925836435187,0.3415977961432507,60.0,1,2.5317822972221284
1.9951505016722415,3.363879598662206,0.3402179938503114,1.25,3.8823539057392633,7.425073233939262,0.34228650137741046,60.0,1,2.5298963103512806
1.6451505016722412,3.063879598662207,0.34022656509053084,1.25,3.8790390446091605,7.399898463294157,0.3419421487603306,60.0,1,2.521947830012985
1.9451505016722415,3.2138795986622064,0.34024185162056797,1.25,3.8499482202816813,7.152879656906265,0.3391873278236915,60.0,1,2.4798302226654436
1.7951505016722413,3.1138795986622068,0.34026020733801565,1.25,3.8542899202607366,7.135835398383133,0.3391873278236915,60.0,1,2.485333824475935
1.9451505016722415,3.363879598662206,0.3402719445557143,1.25,3.8897361255364493,7.425968673711111,0.34228650137741046,60.0,1,2.540988028336218
