x_h,x_s,source,bc,E,RMSE,DeltaT_max,CR,t_s,N_sw,J_Balanced,J_Comfort,J_Energy
0.5714285714285714,4.75,point,NR,40.05,23.581274905392608,82.65483527464181,0.05680769230769231,60.0,1,0.7244427840565947,0.7870801749520363,0.6661998245908728
0.8928571428571429,0.25,point,NR,12.55000000000002,3.4472231982262067,9.765490306528608,0.47017948717948715,60.0,19,0.3071884654817614,0.3288302914174577,0.2930310760858251
0.8928571428571429,0.5714285714285714,point,NR,11.749999999999945,3.7632225764706537,5.076930224895477,0.4016217948717949,60.0,71,0.3260731837800058,0.34465390675689933,0.30866525212686
0.8928571428571429,0.8928571428571429,point,NR,11.549999999999958,3.8393953971414,1.9888448645403756,0.3774230769230769,60.0,223,0.3664003778978328,0.37113868445609566,0.3487849757129624
0.8928571428571429,1.2142857142857144,point,NR,13.349999999999985,3.3819089435902945,8.23147818708544,0.4822371794871795,60.0,33,0.307746758913217,0.32625642680745687,0.29661353303870763
0.8928571428571429,1.5357142857142858,point,NR,15.450000000000006,3.187114312404971,15.262621123136327,0.5781794871794872,60.0,13,0.30054832844043633,0.31821344156183273,0.2951165269339185
0.8928571428571429,1.8571428571428572,point,NR,15.949999999999992,3.3275860191128164,18.778192297554178,0.6094871794871796,60.0,9,0.302361480301582,0.32024943107290904,0.2974258578849256
0.8928571428571429,2.178571428571429,point,NR,17.549999999999997,4.21668214672114,25.960230072043608,0.652897435897436,60.0,5,0.317322828423519,0.33595025570530324,0.3122905574769008
0.8928571428571429,2.5,point,NR,21.249999999999993,5.066193327386881,29.61980612816155,0.6470128205128205,60.0,5,0.3391262808009371,0.35750917372112945,0.33737734089912536
0.8928571428571429,2.8214285714285716,point,NR,22.35,7.174232202665085,37.61541083286146,0.6043397435897436,60.0,3,0.37983175908639955,0.40380191588196446,0.36991437851116293
0.8928571428571429,3.1428571428571432,point,NR,29.849999999999994,10.081188155108958,46.13094570744303,0.47817948717948716,60.0,3,0.45449984493444884,0.48423155287680575,0.44264059384369636
0.8928571428571429,3.4642857142857144,point,NR,33.949999999999996,11.29855615611075,50.350309035152605,0.43228205128205127,60.0,3,0.4875371140525355,0.5190482976309112,0.4767206329054281
0.8928571428571429,3.785714285714286,point,NR,27.35,14.360423818069942,58.72166217592661,0.2800705128205128,60.0,1,0.5399289673129761,0.5875987324616944,0.49867397318364115
