Config,x_s,E,RMSE,DeltaT_max,CR,t_s,N_sw,J_Balanced,J_Comfort,J_Energy
"1.1: $x_h$=0, N-R",4.75,58.22500000000001,14.883061320230507,62.027019417767434,0.21235866013071897,60.0,2,0.8028656930529943,0.8473412626889243,0.796316325679302
"1.2: $x_h$=2.5, N-R",0.25,22.762500000000006,5.00762945128258,28.84646162732863,0.679812908496732,60.0,3,0.5823895075122673,0.6093337134740499,0.5934317812556177
"1.2: $x_h$=2.5, N-R",0.5,20.6875,4.403934050155089,27.625421896752812,0.7396601307189543,60.0,3,0.5406431405716876,0.5657788118788394,0.5508881647385476
"1.2: $x_h$=2.5, N-R",0.75,18.537499999999994,3.7960215092818883,26.23683947785642,0.7673284313725491,60.0,3,0.5024823863047712,0.5272691742425181,0.5102724331417471
"1.2: $x_h$=2.5, N-R",1.0,19.3375,3.01538368155255,23.336562812096048,0.7953251633986927,60.0,5,0.46552993944212917,0.48312737489849855,0.48740872002179403
"1.2: $x_h$=2.5, N-R",1.25,19.387500000000003,2.574256762473461,20.987590909151372,0.7642728758169935,60.0,7,0.44668338582967926,0.46201684402829213,0.4734921243668384
"1.2: $x_h$=2.5, N-R",1.5,17.987500000000015,2.210699254114105,17.049296247371302,0.7311209150326797,60.0,11,0.4168119363959556,0.429581845500709,0.4439956030297908
"1.2: $x_h$=2.5, N-R",1.75,16.387499999999974,2.1113356454882317,14.269546364514206,0.7222230392156863,60.0,15,0.39561645992306116,0.4067106593489711,0.42013340508321106
"1.2: $x_h$=2.5, N-R",2.0,16.112499999999972,2.1090639085544343,9.776117564173418,0.7001593137254901,60.0,33,0.3789764027688889,0.3838134146201372,0.40817120923266825
"1.2: $x_h$=2.5, N-R",2.25,15.862500000000026,2.1714677880168547,6.523704841889174,0.680186274509804,60.0,67,0.3719048063162308,0.3715854958851723,0.4036801629587542
"1.2: $x_h$=2.5, N-R",2.5,15.112500000000082,2.405145280105542,0.9945882258028185,0.6302124183006536,60.0,1161,0.49847778805450005,0.4460514596817694,0.5316368197637071
"1.2: $x_h$=2.5, N-R",2.75,16.212500000000013,2.0898146848370076,4.746635730323323,0.6965825163398692,60.0,119,0.36701700918353997,0.36035220557991665,0.4044208208931731
"1.2: $x_h$=2.5, N-R",3.0,17.9375,1.953953926811635,9.776117564173418,0.7740204248366013,60.0,37,0.3719750828560807,0.370234027672222,0.41391662098539617
"1.2: $x_h$=2.5, N-R",3.25,19.262499999999974,2.125391902004616,12.824744389209243,0.8195228758169937,60.0,23,0.3885439458732278,0.38790630746337273,0.4329122487682818
"1.2: $x_h$=2.5, N-R",3.5,20.58750000000001,2.752085665802473,17.31656536059166,0.8767589869281047,60.0,13,0.4240427632204212,0.4259959018845505,0.4664913489529213
"1.2: $x_h$=2.5, N-R",3.75,20.8125,3.348926143004795,20.2585976643713,0.9003047385620915,60.0,9,0.45234747508974693,0.45754036950315935,0.4888749972046723
